NatEmis,verify,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNATEMIS,NewNATEMIS,Learners2022,Educators2022
100000619,False,2022,WC,1,BLAAUWBERG RISE THERAPY AND LEARNING CENTRE,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,3,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"18,4834847535","-33,8121586944",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100023,99,UNKNOWN,MRS C  WIESE,99,BLOUBERG RISE,CITY OF CAPE TOWN,"RAVEN STREET, BOUBERG RISE, , CITY OF CAPE TOWN, 7441","7 RAVEN STREET, CAPE TOWN, , 7441",0215560931,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,100000619,100000619,34,7
100000658,False,2022,WC,1,DS DE WET SCHOOL FOR AUTISM,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,School of Skills,SPECIAL NEEDS EDUCATION,OVERBERG,1,UNKNOWN,UNKNOWN,,,N/A,NULL,NULL,"20,0416750541","-34,5303093081",Overberg,Cape Agulhas Local Municipality,10303004,,,MRS Cathrin  Jacobs,,BREDASDORP,BREDASDORP,"FIRLANE, BREDASDORP, , BREDASDORP, 7280","PO BOX 764, BREDASDORP, , 7280",0829294276,NULL,,NOT APPLICABLE,,,,No Fee,,,WC,Not Moved,100000658,100000658,6,1
100000668,False,2022,WC,1,EDU-PLAY EARLY LEARNING CENTRE,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,7,UNKNOWN,UNKNOWN,,,N/A,NULL,NULL,"18,6519494308","-33,8328950157",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100112,,,MS LM  DU TOIT,,DURBANVILLE,CITY OF CAPE TOWN,"MURRAY STREET, VIERLANDEN KLEINHOEWES, Durbanville, CITY OF CAPE TOWN, 7550","PO Box 3724, Tygervalley, , 7536",0219759991,NULL,,NOT APPLICABLE,,,,No Fee,,,WC,Not Moved,100000668,100000668,63,6
100000728,False,2022,WC,1,GRAAFWATER SPECIAL SCHOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,WEST COAST,4,NULL,UNKNOWN,WCE,470880,N/A,NULL,NULL,"18,604335","-32,154281",WEST COAST,CEDERBERG,10102004,99,UNKNOWN,MR R  Van Rooyen,99,GRAAFWATER,GRAAFWATER,"C/O HOOF & VAN DER STEL STREET, GRAAFWATER, , GRAAFWATER, 8120","PO BOX 4, GRAAFWATER, , 8120",0274221009,NULL,,NOT APPLICABLE,N,N/A,,Fee Charging,,0,WC,Not Moved,100000728,100000728,186,11
100000762,False,2022,WC,1,EARTHKIDO ONAFHANKLIKE SKOOL,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,CAPE WINELANDS,4,,,,,,,,"19,4442176818848","-33,616153717041",Cape Winelands,Breede Valley Local Municipality,,,,MS D ZEEMAN,,VAN RIEBEECK PARK,WORCESTER,"15 ST. ANDREWS CLOSE, FAIRWAY HEIGHTS",,,,,,,,,Fee charging,,,,,100000762,100000762,4,#N/A
100000772,False,2022,WC,1,HERBERT STREET SPECIAL SCHOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,1,,,,,,,,"18,6393489837646","-33,8966941833496",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,,,,MRS Z HELM,,OAKDALE,CITY OF CAPE TOWN,"79 HERBERT STREET, OAKDALE",,,,,,,,,Fee charging,,,,,100000772,100000772,76,12
100000774,False,2022,WC,1,SILVERSTREAM SCHOOL OF SKILLS,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO CENTRAL,5,,,,,,,,"18,5566692352295","-33,9853553771973",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,,,,MR L PIETERS,,MANENBERG,CITY OF CAPE TOWN,"SONDEREND ROAD, MANENBERG",,,,,,,,,Fee charging,,,,,100000774,100000774,150,18
101007546,False,2022,WC,1,DUNATOS PRIVAATSKOOL,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO EAST,3,UNKNOWN,UNKNOWN,CED,99,N/A,1002272,1002272,"18,6539836752","-33,8916226522",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100003,99,UNKNOWN,MS S  VAN ZYL,99,STIKLAND HOSPITAAL,CITY OF CAPE TOWN,"OLD PAARL ROAD, STIKLANDGRONDE, BELLVILLE, CITY OF CAPE TOWN, 7530","Ysterhoutstraat 22, Blommendal, BELLVILLE, 7530",0213006698,Y,ABCDE,NOT APPLICABLE,N,N/A,,Fee Charging,,1243,WC,Not Moved,101007546,101007546,224,38
101301602,False,2022,WC,1,CAREL DU TOIT SENTRUM,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,1,NULL,UNKNOWN,CED,301602,005892,NULL,NULL,"18,6139483352","-33,9147419431",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100010,99,UNKNOWN,MRS A  HODGSON,99,TYGERBERG HOSPITAL,CITY OF CAPE TOWN,"FRANCIE VAN ZIJLE DRIVE, TYGERBERG HOSPITAL, PAROW, CITY OF CAPE TOWN, 7500","Posbus 19130, TYGERBERG, , 7505",0219385312,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,101301602,101301602,110,23
101302204,False,2022,WC,1,WESTCLIFF SPESIALE SKOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,School of Skills,SPECIAL NEEDS EDUCATION,METRO EAST,5,NULL,UNKNOWN,WCE,302204,005122,NULL,NULL,"18,6444606788","-33,8980216675",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100003,99,UNKNOWN,MR JS  VAN SCHALKWYK,99,CHRISMAR,CITY OF CAPE TOWN,"OU PAARLWEG, BELLVILLE, , CITY OF CAPE TOWN, 7532","Posbus 328, Sanlam Hof, , 7532",0219484877,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,101302204,101302204,625,41
101305604,False,2022,WC,1,TYGERBERG HOSPITAALSKOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,Hospital School,SPECIAL NEEDS EDUCATION,METRO NORTH,1,NULL,UNKNOWN,CED,305604,005912,NULL,NULL,"18,6130096286","-33,9104417573",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100010,99,UNKNOWN,MRS Z  HELM,99,TYGERBERG HOSPITAL,CITY OF CAPE TOWN,"ADMIN GEBOU OOS HLG, TYGERBERG HOSPITAAL, TYGERBERG, CITY OF CAPE TOWN, 7505","Admin Gebou Oos Hlg, Tygerberg Hospitaal, TYGERBERG, 7505",0219385261,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,101305604,101305604,10,8
101324612,False,2022,WC,1,ATHLONE SKOOL VIR BLINDES,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,6,NULL,UNKNOWN,UNKNOWN,324612,000924,1002201,1002201,"18,6536169564","-33,9174923936",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100009,99,UNKNOWN,DR J  PHILANDER,99,GLENHAVEN,CITY OF CAPE TOWN,"ATHLONESTRAAT, GLENHAVEN, BELLVILLE SUID, CITY OF CAPE TOWN, 7533","PRIVAATSAK X1, KASSELSVLEI, , 7533",0219512234,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,101324612,101324612,291,39
101324639,False,2022,WC,1,OASIS SPECIAL SCHOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,5,NULL,UNKNOWN,HOR,324639,000968,NULL,NULL,"18,6367182081","-33,9410349869",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100012,99,UNKNOWN,MR SG  REED,99,BELHAR EXT 8,CITY OF CAPE TOWN,"CARMEN CLOSE, BELHAR, , CITY OF CAPE TOWN, 7493","Posbus 10091, Belhar, , 7507",0219522100,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,101324639,101324639,261,21
101324795,False,2022,WC,1,FLORIDA VAARDIGHEIDSKOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,School of Skills,SPECIAL NEEDS EDUCATION,METRO NORTH,3,NULL,UNKNOWN,UNKNOWN,324795,000864,NULL,NULL,"18,5534373536","-33,9227924328",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100030,99,UNKNOWN,MR C.A.  SMITH,99,RUYTERWACHT,CITY OF CAPE TOWN,"H/V RICHMOND EN TEXELSTRAAT, RUYTERWACHT, , CITY OF CAPE TOWN, 7475","Posbus 850, Epping Industria, RUYTERWACHT, 7475",0215350756,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,101324795,101324795,279,16
101328529,False,2022,WC,1,CHERE  BOTHA SKOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO EAST,7,NULL,UNKNOWN,WCE,328529,000124,NULL,NULL,"18,664421407","-33,88702293",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100003,99,UNKNOWN,MS J.L.  VAN DER WESTHUIZEN,99,OAKDALE,CITY OF CAPE TOWN,"MEERLUST STREET, OAK GLEN, BELLVILLE, CITY OF CAPE TOWN, 7530","20 Meerlust street, Oak Glen, BELLVILLE, 7530",0219105300,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,101328529,101328529,295,33
102316490,False,2022,WC,1,ST. JOSEPH'S SCHOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO CENTRAL,3,NULL,UNKNOWN,CED,316490,000936,NULL,NULL,"18,5738082636","-33,9639884892",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100031,99,UNKNOWN,MRS CM  PAULSE,99,MONTEVIDEO,CITY OF CAPE TOWN,"PALLOTTIWEG, MONTANA, , CITY OF CAPE TOWN, 7490","P.O.BOX 21131, Durrheim, , 7491",0219351369,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,102316490,102316490,211,18
102484636,False,2022,WC,1,FILIA SKOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,2,NULL,UNKNOWN,UNKNOWN,484636,004150,NULL,NULL,"18,5615294356","-33,9012103524",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100026,99,UNKNOWN,MS MM  MORTLOCK,99,VASCO ESTATE,CITY OF CAPE TOWN,"MILTONWEG, VRIJZEE,GOODWOOD, , CITY OF CAPE TOWN, 7460","Posbus 12911, N1 City, , 7463",0215921361,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,102484636,102484636,206,19
102484679,False,2022,WC,1,ASTRA SKOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO CENTRAL,3,NULL,UNKNOWN,UNKNOWN,484679,000945,NULL,NULL,"18,5752491927","-33,9631065528",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100031,99,UNKNOWN,MS M.  MABOTHA,99,MONTEVIDEO,CITY OF CAPE TOWN,"PALOTTIWEG, MONTANA, , CITY OF CAPE TOWN, 7490","POSBUS 21106, DURRHEIM, , 7491",0219340155,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,102484679,102484679,155,19
103000129,False,2022,WC,1,NOMPUMELELO SKOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO CENTRAL,7,NULL,UNKNOWN,UNKNOWN,129,007110,NULL,NULL,"18,5678749606","-33,9794755133",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100041,99,UNKNOWN,MR M  TUBENI,99,GUGULETU,CITY OF CAPE TOWN,"ST.GABRIELS STREET, GUGULETHU, , CITY OF CAPE TOWN, 7750","P O Box 507, Gatesville, , 7766",0216378062,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,103000129,103000129,307,23
103007340,False,2022,WC,1,THEMBALITSHA FOUNDATION TRADING AS SCHOOL OF HOPE,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO CENTRAL,9,UNKNOWN,UNKNOWN,WCE,99,N/A,1001195,1001195,"18,4726906336","-33,9432977284",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100057,99,UNKNOWN,MR S A  OYEWO,99,OBSERVATORY,CITY OF CAPE TOWN,"WAVERLEY BUSSINESS PARK, OBSERVATORY, MOWBRAY, CITY OF CAPE TOWN, 7725","27 Waverley Bussiness Park, Kotzee Road, Observatory, MOWBRAY, 7925",0214470334,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,103007340,103007340,172,10
103008027,False,2022,WC,1,SEAL COLLEGE,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,9,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"18,5040822487","-33,8642637764",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100004,99,UNKNOWN,MS C.  VAN HEERDEN,99,MILNERTON,CITY OF CAPE TOWN,"OXALIS STREET, MILNERTON, , CITY OF CAPE TOWN, 7441","9 Oxalis Street, Milnerton, , 7441",0215552732,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,103008027,103008027,16,1
103008185,False,2022,WC,1,LEARN TO LIVE SCHOOL OF SKILLS,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,School of Skills,SPECIAL NEEDS EDUCATION,METRO CENTRAL,3,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"18,4188540466","-33,9161652214",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100115,99,UNKNOWN,MS D  ORGILL,99,CAPE TOWN CITY CENTRE,CITY OF CAPE TOWN,"SOMERSET ROAD, GREENPOINT, CAPE TOWN, , CITY OF CAPE TOWN, 8001","2 SOMERSET ROAD, GREENPOINT, CAPE TOWN, 8001",0214251450,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,103008185,103008185,237,14
103008402,False,2022,WC,1,SHELANTI PRIVATE REMEDIAL SCHOOL,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,9,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"18,5158682864","-33,8038559374",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100107,99,UNKNOWN,MS D  KEMPEN,99,PARKLANDS,CITY OF CAPE TOWN,"STEPNEY ROAD, PARKLANDS, , CITY OF CAPE TOWN, 7441","14 Charles Hoffe, Melkbosstrand, , 7441",0215573484,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,103008402,103008402,88,10
103302201,False,2022,WC,1,DE GRENDEL SPESIALE SKOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,School of Skills,SPECIAL NEEDS EDUCATION,METRO NORTH,9,NULL,UNKNOWN,UNKNOWN,302201,005121,NULL,NULL,"18,4997792956","-33,8818006742",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100055,99,UNKNOWN,MR W  HAMMAN,99,TIJGERHOF,CITY OF CAPE TOWN,"NOBLEWEG (VANAF KOEBERGWEG), MILNERTON, , CITY OF CAPE TOWN, 7441","Privaatsak X2, MILNERTON, , 7435",0215523010,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,103302201,103302201,429,32
103305600,False,2022,WC,1,GROOTE SCHUUR HOSPITAAL SKOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,Hospital School,SPECIAL NEEDS EDUCATION,METRO CENTRAL,9,NULL,UNKNOWN,CED,305600,005909,NULL,NULL,"18,4630689785","-33,9407709889",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100057,99,UNKNOWN,MRS R.W.  CUPIDO,99,OBSERVATORY,CITY OF CAPE TOWN,"NUWE GSH, HOSPITAALLAAN, OBSERVATORY, CITY OF CAPE TOWN, 7925","p/a E11 Superintendentskantoor, Nuwe Groote Schuur-Hospitaal, OBSERVATORY, 7925",0214045012,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,103305600,103305600,#N/A,2
103305603,False,2022,WC,1,RED CROSS CHILDREN'S HOSPITAL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,Hospital School,SPECIAL NEEDS EDUCATION,METRO CENTRAL,10,NULL,UNKNOWN,CED,305603,005913,NULL,NULL,"18,4883130372","-33,9548361835",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100058,99,UNKNOWN,MS M  SHARGEY,99,RONDEBOSCH,CITY OF CAPE TOWN,"KLIPFONTEIN RD, RONDEBOSCH, , CITY OF CAPE TOWN, 7700","Klipfontein Rd, Rondebosch, , 7700",0216585042,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,103305603,103305603,#N/A,4
103315605,False,2022,WC,1,DOMINICAN GRIMLEY-SCHOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO CENTRAL,5,NULL,UNKNOWN,UNKNOWN,315605,005967,1009911,1009911,"18,357056442","-34,0188731326",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100074,99,UNKNOWN,MS L  KANNEMEYER,99,HOUT BAY,CITY OF CAPE TOWN,"VALLEY ROAD, HOUT BAY, , CITY OF CAPE TOWN, 8000","P.O. Box 2986, Cape Town, , 8000",0217901052,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,103315605,103315605,103,18
